Alignment ID	Average Rt(min)	Average Mz	Adduct type	Fill %	S/N average	MS1 isotopic spectrum	MS/MS spectrum	NC	NC	NC	NC	NC	NC	NC	UC	UC	UC	UC	UC	UC	UC	CS	CS	CS	CS	CS	CS	CS
40	24.134	60.0447	[M+H]+	0.016	220.89	60.0447:5169 61.04805:415 62.05141:0	42.03672:30 43.01879:60 44.05485:20	1.85821E-06	1.11473E-06	4.20935E-07	7.56639E-07	5.55902E-07	1.72614E-07	2.37846E-07	2.42406E-07	4.44429E-07	9.18498E-08	6.63142E-07	2.27658E-07	5.98984E-08	2.32427E-07	2.52473E-07	1.87633E-07	2.36716E-07	2.03369E-07	2.95086E-07	1.67543E-07	1.36141E-07
41	1.707	60.04475	[M+H]+	0.016	47.67	60.04475:1018 61.0481:2292 62.05146:0		3.93886E-06	2.98062E-06	1.67104E-06	3.3835E-06	4.37677E-06	7.19448E-06	3.4159E-06	2.59028E-06	4.3709E-06	2.81895E-06	4.45172E-06	3.69507E-06	3.34971E-06	4.09218E-06	2.23917E-06	2.12482E-06	3.14399E-06	5.00256E-06	2.27613E-06	3.81645E-06	2.72637E-06
42	23.039	60.04514	[M+H]+	0.016	236.6	60.04514:6436 61.04849:1135 62.05185:100	42.03331:20 43.01936:127 44.0148:20 44.05204:20	6.97067E-06	2.22356E-05	1.02367E-05	8.55541E-06	1.20052E-05	2.47089E-05	3.09825E-05	1.76645E-05	7.10352E-05	1.92784E-05	4.57983E-05	6.65588E-05	3.20856E-05	2.35063E-05	3.72806E-05	2.75263E-05	5.08489E-05	1.33583E-05	1.30442E-05	3.42493E-05	4.24585E-05
43	23.396	61.02722	[M+H]+	0.032	184.39	61.02722:9356 62.03057:340 63.03393:20	43.01949:203 44.99851:27	6.47285E-05	9.52175E-05	6.47369E-05	0.000115522	6.69366E-06	2.26811E-05	2.61489E-05	5.55369E-05	5.29013E-05	1.60837E-05	4.58077E-05	2.95881E-05	1.53862E-05	2.52065E-05	1.2803E-05	3.71785E-05	1.57633E-05	9.18364E-06	2.03661E-05	2.86939E-05	1.63511E-05
44	1.349	61.0386	[M+H]+	1	309.79	61.03884:20755 62.04219:165 63.04555:0	43.03141:50 44.01548:886	0.000126891	0.000140043	0.000227024	0.000142893	0.00016915	0.000120585	0.000157444	0.000132783	0.000216398	0.000161604	0.000101054	0.000343394	0.000103724	0.000124975	0.000259854	0.000121213	0.000101658	0.000121157	0.000145873	0.000121319	0.000140296
45	1.668	61.04053	[M+H]+	0.698	38.19	61.04053:3848 62.04388:60 63.04724:0		6.54227E-05	4.50969E-05	5.30323E-05	4.65268E-05	2.16935E-05	3.5106E-05	6.94713E-05	4.97729E-05	6.2322E-05	3.77202E-05	5.85091E-05	0.000104855	5.34233E-05	4.59675E-05	4.04078E-05	4.75E-05	3.77845E-05	4.4421E-05	4.6772E-05	4.75381E-05	3.45039E-05
46	1.081	68.98285	[M+H]+	0.063	42.99	68.98217:1353 69.98552:160 70.98888:240	42.03333:10	3.27343E-06	1.97293E-06	3.38562E-06	8.97928E-07	1.25078E-05	1.82501E-06	1.68526E-06	1.51677E-06	1.0336E-06	8.11619E-07	4.27275E-06	3.47742E-07	4.85331E-07	2.46336E-06	4.32512E-06	1.97776E-07	9.28526E-07	1.75346E-06	2.86803E-06	3.83056E-06	7.5143E-07
47	2.574	69.0691	[M+H]+	0.016	38.17	69.0691:1109 70.07245:126 71.07581:0	39.02023:20 39.0215:20 41.03996:20	0	3.32206E-08	3.26587E-08	2.9745E-08	3.23641E-08	2.68138E-08	2.81659E-08	0	0	2.83899E-08	0	8.25574E-08	2.45737E-08	0	0	2.70463E-08	0	0	3.10617E-08	3.1745E-08	0
48	2.875	69.06983	[M+H]+	0.159	36.44	69.06896:1068 70.07231:180 71.07567:0	39.02136:10 39.02327:10 39.02582:10 41.01498:10	8.7982E-06	1.16844E-05	7.62037E-08	8.21706E-06	1.15235E-05	2.84897E-08	7.18231E-06	6.87913E-06	0	1.13844E-05	6.21696E-08	1.56359E-05	7.65625E-06	4.13611E-07	1.02626E-05	9.19404E-06	8.1917E-06	1.06024E-05	4.65925E-08	1.24052E-05	1.07216E-05
49	2.961	69.06995	[M+H]+	0.032	30.63	69.06995:1083 70.0733:190 71.07666:0	41.39417:10	8.7982E-06	1.16844E-05	4.71737E-08	7.80807E-08	7.42471E-08	9.56079E-06	7.18231E-06	6.87913E-06	8.53793E-06	1.2024E-07	6.21696E-08	1.56359E-05	7.65625E-06	0	3.30826E-08	3.71886E-08	5.00104E-08	1.06024E-05	4.65925E-08	0	1.13157E-07
50	2.794	69.07042	[M+H]+	0.095	33.74	69.06996:1136 70.07331:91 71.07667:0	38.01575:20 39.02513:20	8.7982E-06	1.16844E-05	8.73984E-06	3.16041E-08	1.15235E-05	2.84897E-08	3.12955E-09	5.19441E-08	0	1.1386E-05	1.24358E-05	1.42599E-07	7.65625E-06	1.09881E-05	1.02626E-05	9.19404E-06	8.1917E-06	1.12093E-08	9.73784E-06	1.24052E-05	1.07216E-05
51	1.496	70.0632	[M+ACN+2H]+	0.984	983.57	70.06432:15038 71.06767:1089 72.07103:10780	39.02451:10 41.03977:20 53.04246:10 70.06637:20	0.000117288	0.00010757	0.000111419	9.45222E-05	0.000113103	0.000101103	0.0001138	7.61206E-05	0.00010526	9.6925E-05	8.1574E-05	0.000144941	7.69449E-05	6.41591E-05	0.000107773	9.48834E-05	8.97036E-05	8.98428E-05	7.07516E-05	8.47803E-05	4.54765E-05
